Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
544000,"South Dorchester, Dorchester, MA",3.0,2.0,2,63,6,7,7,20,116,26,18
260000,"South Dorchester, Boston, MA",1.0,1.0,2,54,6,4,4,14,119,28,19
336000,"South Dorchester, Boston, MA",2.0,1.0,3,54,4,3,0,7,104,22,17
400000,"South Dorchester, Dorchester, MA",2.0,1.0,4,63,5,5,5,15,156,31,17
560000,"North Dorchester, Dorchester, MA",3.0,2.0,2,63,7,4,4,15,167,33,20
432000,"North Dorchester, Dorchester, MA",3.0,1.5,1,55,5,3,3,11,167,34,21
893600,"Roxbury, Dorchester, MA",3.0,3.0,2,53,3,4,4,11,149,30,16
352000,"South Dorchester, Boston, MA",2.0,1.0,2,54,4,3,0,7,104,23,18
448000,"South Dorchester, Boston, MA",3.0,1.0,3,54,6,4,4,14,107,25,17
400000,"South Dorchester, Boston, MA",3.0,1.0,2,54,5,3,3,11,124,29,20
400000,"South Dorchester, Boston, MA",3.0,1.0,2,63,6,6,6,18,150,32,18
416000,"Mattapan, Boston, MA",3.0,1.0,3,54,6,4,4,14,88,20,11
400000,"South Dorchester, Boston, MA",3.0,1.0,2,63,5,6,6,17,116,26,18
893600,"Roxbury, Dorchester, MA",3.0,3.0,2,53,3,4,4,11,149,30,16
384000,"South Dorchester, Boston, MA",2.0,1.0,1,54,3,1,1,5,90,19,15
400000,"South Dorchester, Boston, MA",2.0,2.0,2,63,6,6,6,18,112,24,17
719200,"Roxbury, Boston, MA",3.0,2.0,3,53,5,5,5,15,111,34,14
320000,"South Dorchester, Dorchester Center, MA",1.0,1.0,1,54,3,2,2,7,64,17,13
320000,"South Dorchester, Boston, MA",1.0,1.0,1,54,3,2,2,7,64,17,13
320000,"South Dorchester, Boston, MA",2.0,1.5,1,54,3,2,2,7,64,17,13
560000,"North Dorchester, Boston, MA",4.0,2.0,1,55,4,3,3,10,164,33,20
512000,"South Dorchester, Boston, MA",4.0,3.0,2,54,4,3,3,10,108,27,16
463200,"Roxbury, Dorchester, MA",1.0,1.0,2,53,3,4,4,11,149,30,16
448000,"Jamaica Plain, Boston, MA",3.0,1.0,2,21,7,8,8,23,327,34,69
512000,"Jamaica Plain, Boston, MA",4.0,1.0,3,23,10,9,9,28,276,41,41
544000,"Jamaica Plain, Boston, MA",4.0,1.0,2,23,9,9,9,27,306,34,63
544000,"Jamaica Plain, Boston, MA",4.0,1.0,2,23,9,9,9,27,306,34,63
512000,"Jamaica Plain, Boston, MA",4.0,1.0,3,23,10,9,9,28,276,41,41
479840,"Jamaica Plain, Boston, MA",3.0,1.0,2,21,7,7,7,21,327,34,69
479840,"Jamaica Plain, Boston, MA",3.0,1.0,2,21,7,7,7,21,327,34,69
336000,"Jamaica Plain, Boston, MA",2.0,1.0,2,21,7,7,7,21,327,34,69
400000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,1,1,1,3,75,14,16
416000,"Jamaica Plain, Boston, MA",3.0,1.0,4,42,10,6,6,22,226,37,35
400000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,7,5,5,17,171,34,29
431200,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,1,1,0,2,79,16,20
440000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,3,2,2,7,111,25,23
432000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,9,7,7,23,219,36,33
460000,"Jamaica Plain, Roxbury Crossing, MA",3.0,1.0,2,23,13,12,12,37,272,41,40
432000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,9,8,8,25,290,36,55
432000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,6,2,2,10,119,24,23
432000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,11,10,10,31,212,35,29
384000,"Jamaica Plain, Boston, MA",3.0,1.0,4,53,6,3,3,12,140,33,22
400000,"Jamaica Plain, Boston, MA",3.0,1.0,2,53,9,5,5,19,169,35,27
480000,"Jamaica Plain, Boston, MA",4.0,1.0,2,23,9,9,9,27,306,34,63
480000,"Jamaica Plain, Boston, MA",4.0,1.0,2,42,6,2,2,10,123,28,23
472000,"Jamaica Plain, Jamaica Plain, MA",4.0,1.0,1,42,9,8,8,25,285,34,49
496000,"Jamaica Plain, Boston, MA",4.0,1.0,2,42,11,10,10,31,245,40,35
271200,"Jamaica Plain, Boston, MA",1.0,1.0,1,21,9,8,8,25,298,34,59
264000,"Jamaica Plain, Boston, MA",1.0,1.0,1,42,9,8,8,25,290,36,55
456000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,11,10,10,31,205,34,29
468000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,9,7,7,23,197,34,30
456000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,1,1,0,2,80,16,20
448000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,7,5,5,17,171,34,29
472000,"Jamaica Plain, Boston, MA",3.0,1.0,2,23,9,9,9,27,306,34,63
448000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,10,8,8,26,187,32,29
564000,"Jamaica Plain, Boston, MA",4.0,1.0,3,42,6,2,2,10,119,25,24
544000,"Jamaica Plain, Boston, MA",4.0,1.0,1,42,2,3,3,8,91,21,18
432000,"Jamaica Plain, Boston, MA",3.0,1.0,2,53,9,5,5,19,169,35,27
415200,"Jamaica Plain, Boston, MA",3.0,1.0,2,53,8,5,5,18,159,33,27
464000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,9,8,8,25,254,40,36
448000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,7,5,5,17,171,34,29
544000,"Jamaica Plain, Boston, MA",4.0,1.0,2,42,11,10,10,31,221,38,29
479200,"Jamaica Plain, Boston, MA",4.0,1.0,4,53,6,3,3,12,134,26,22
272000,"Jamaica Plain, Boston, MA",1.0,1.0,1,42,9,8,8,25,290,36,55
432000,"Jamaica Plain, Boston, MA",3.0,1.0,3,42,8,6,6,20,207,36,30
