Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife,Median Household Income by Area,Median Age by Area,Total Population by Area,Occupied by Area,Vacant by Area,Work Commute Short by Area,Work Commute Average by Area,Work Commute Long by Area,Compare Median Sale Price
574400,West End,1.0,1.0,5,21,5,1,0,6,877,105,314,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
618800,West End,3.0,3.0,4,21,7,0,0,7,932,108,338,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
724000,West End,3.0,2.0,3,21,4,0,0,4,854,100,305,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,1
640000,West End,2.0,2.0,5,21,7,2,0,9,898,106,320,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
606400,West End,1.0,1.0,5,21,5,1,0,6,877,105,314,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
574800,West End,3.0,2.0,1,21,5,0,0,5,944,114,334,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
634800,West End,3.0,2.0,5,21,6,2,0,8,890,106,318,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
591600,West End,3.0,2.0,1,21,5,0,0,5,924,112,327,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
2225520,West End,3.0,2.0,5,21,5,2,0,7,899,105,321,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,1
761600,West End,3.0,3.0,3,21,6,2,0,8,853,100,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,1
847200,West End,2.0,2.0,4,21,6,2,0,8,867,103,311,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,1
304000,West End,1.0,1.0,1,21,4,0,0,4,875,106,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
304000,West End,1.0,1.0,1,21,4,0,0,4,875,106,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
304000,West End,1.0,1.0,1,21,4,0,0,4,875,106,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
384000,West End,1.0,1.0,1,21,5,0,0,5,914,109,330,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
928000,West End,4.0,2.0,2,21,6,0,0,6,1006,122,368,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,1
416000,West End,1.0,1.0,1,21,6,0,0,6,914,109,330,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
520000,West End,2.0,2.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
512000,West End,2.0,2.0,1,21,5,0,0,5,914,109,330,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
528000,West End,2.0,2.0,1,21,6,0,0,6,914,109,330,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
608000,West End,2.0,2.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
665600,West End,2.0,2.0,4,21,7,0,0,7,1007,123,370,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,1
552000,West End,2.0,2.0,1,21,5,0,0,5,914,109,330,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
416000,West End,2.0,1.0,1,21,4,0,0,4,886,105,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
632000,West End,4.0,1.0,2,21,6,0,0,6,1043,124,388,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
304000,West End,1.0,1.0,1,21,4,0,0,4,875,106,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
472000,West End,2.0,1.0,4,21,7,0,0,7,1039,125,387,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
400000,West End,1.0,1.0,1,21,4,0,0,4,886,105,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
368000,West End,1.0,1.0,1,21,4,0,0,4,886,105,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
352000,West End,1.0,1.0,1,21,4,0,0,4,886,105,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
416000,West End,1.0,1.0,1,21,4,0,0,4,886,105,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
368000,West End,1.0,1.0,1,21,4,0,0,4,886,105,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
380000,West End,1.0,1.0,1,21,4,0,0,4,886,105,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
368000,West End,1.0,1.0,1,21,4,0,0,4,886,105,315,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
400000,West End,1.0,1.0,1,21,5,0,0,5,914,109,330,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
392000,West End,1.0,1.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
336000,West End,1.0,1.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
416000,West End,1.0,1.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
512000,West End,2.0,2.0,1,21,5,0,0,5,914,109,330,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
512000,West End,2.0,2.0,1,21,6,0,0,6,914,109,330,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
456000,West End,1.0,1.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
472000,West End,1.0,1.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
464000,West End,1.0,1.0,1,21,6,0,0,6,914,109,330,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
528000,West End,2.0,2.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
600000,West End,2.0,2.0,5,21,7,2,0,9,898,106,320,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
552000,West End,1.0,1.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
448000,West End,1.0,1.0,1,21,4,0,0,4,864,102,306,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
1136000,West End,2.0,2.0,1,21,5,0,0,5,944,114,334,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,1
864000,West End,1.0,1.0,1,21,5,0,0,5,944,114,334,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,1
1104000,West End,2.0,2.0,1,21,5,0,0,5,944,114,334,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,1
608000,West End,2.0,2.0,5,21,7,2,0,9,898,106,320,135384.67,33.8,7506,3986,872,0.0,0.0,0.0,0
478400,Downtown,1.0,1.0,4,25,2,1,0,3,889,108,348,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
498400,Downtown,2.0,2.0,4,25,2,1,0,3,889,108,348,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
885920,Downtown,2.0,2.0,1,42,2,1,1,4,926,108,364,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
192000,Downtown,1.0,0.0,4,20,2,1,0,3,991,111,382,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
208000,Downtown,1.0,0.0,4,20,2,1,0,3,991,111,382,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
969520,Downtown,3.0,3.0,5,25,2,1,0,3,962,107,371,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1254400,Downtown,3.0,2.0,2,18,1,0,1,2,1068,136,414,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
415200,Downtown,2.0,1.0,4,20,2,1,0,3,991,111,382,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
415200,Downtown,2.0,1.0,4,20,2,1,0,3,991,111,382,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
511200,Downtown,3.0,1.5,4,20,1,0,0,1,995,114,387,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
303200,Downtown,1.0,1.0,5,20,3,1,0,4,966,107,369,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
672000,Downtown,2.0,2.5,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
463200,Downtown,1.0,1.0,2,23,2,1,1,4,897,112,346,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
463200,Downtown,1.0,1.0,2,23,2,1,1,4,897,112,346,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
408000,Downtown,1.0,1.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
448000,Downtown,1.0,1.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
975040,Downtown,3.0,2.0,5,20,3,1,0,4,966,107,369,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
512000,Downtown,1.0,1.0,1,23,2,2,2,6,892,111,347,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
216000,Downtown,3.0,1.0,2,18,2,0,0,2,977,123,389,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
480000,Downtown,1.0,1.0,1,23,2,2,2,6,892,111,347,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
1092800,Downtown,4.0,3.0,5,20,3,1,0,4,966,107,369,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
480000,Downtown,1.0,1.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
960000,Downtown,2.0,2.0,4,20,3,0,0,3,1005,115,391,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
560000,Downtown,1.0,1.5,1,23,1,1,1,3,864,109,329,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
592000,Downtown,1.0,1.0,4,20,3,0,0,3,1005,115,391,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
720000,Downtown,2.0,2.0,4,20,3,0,0,3,1005,115,391,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
800000,Downtown,2.0,2.0,4,20,3,0,0,3,1005,115,391,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1600000,Downtown,2.0,2.5,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
584000,Downtown,2.0,1.5,1,23,2,2,2,6,862,110,327,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
672000,Downtown,2.0,2.0,1,23,2,2,2,6,892,111,347,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1600000,Downtown,1.0,2.5,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
2360000,Downtown,3.0,4.5,1,42,2,1,1,4,908,110,360,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1112000,Downtown,1.0,2.0,2,23,3,2,2,7,885,109,343,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
304000,Downtown,2.0,1.0,3,18,2,0,0,2,978,124,388,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
440000,Downtown,3.0,1.5,4,20,1,0,0,1,995,114,387,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
1720000,Downtown,3.0,2.5,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
318400,Downtown,1.0,1.0,3,23,2,1,0,3,900,109,350,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
588000,Downtown,4.0,3.0,4,20,2,1,0,3,995,114,387,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
624000,Downtown,4.0,1.0,5,20,2,1,0,3,977,107,376,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
432000,Downtown,1.0,1.0,1,23,2,2,2,6,862,110,327,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
400000,Downtown,1.0,1.0,1,23,2,2,2,6,862,110,327,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
640000,Downtown,2.0,2.0,2,23,2,1,1,4,897,112,346,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
440000,Downtown,1.0,1.0,3,25,3,2,2,7,900,109,350,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
440000,Downtown,1.0,1.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
704000,Downtown,1.0,1.5,1,42,2,1,1,4,908,110,360,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
448000,Downtown,1.0,1.0,1,23,2,2,2,6,892,111,347,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
512000,Downtown,1.0,1.0,2,23,3,2,2,7,884,107,348,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
480000,Downtown,1.0,1.0,1,23,2,2,2,6,892,111,347,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
476000,Downtown,1.0,1.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
496000,Downtown,1.0,1.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
480000,Downtown,1.0,1.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
704000,Downtown,1.0,1.5,4,20,3,0,0,3,1005,115,391,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
512000,Downtown,1.0,1.0,2,23,3,2,2,7,884,107,348,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
512000,Downtown,1.0,1.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
1104000,Downtown,4.0,3.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1040000,Downtown,2.0,2.0,4,20,3,0,0,3,1005,115,391,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1400000,Downtown,2.0,2.5,2,23,3,2,2,7,885,109,343,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
688000,Downtown,2.0,2.0,4,25,3,2,2,7,871,107,341,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
680000,Downtown,2.0,2.0,4,25,2,1,0,3,900,109,350,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
688000,Downtown,2.0,2.0,4,25,3,2,2,7,871,107,341,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
592000,Downtown,1.0,1.0,4,25,2,1,0,3,900,109,350,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
1520000,Downtown,2.0,2.0,2,23,3,2,2,7,884,107,348,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
880000,Downtown,2.0,2.0,4,20,3,0,0,3,1005,115,391,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
960000,Downtown,2.0,2.0,4,20,3,0,0,3,1005,115,391,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1360000,Downtown,2.0,2.0,4,25,3,2,2,7,871,107,341,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1344000,Downtown,2.0,2.0,1,23,1,1,1,3,864,109,329,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
600000,Downtown,1.0,1.0,2,23,3,2,2,7,885,109,343,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,0
736000,Downtown,2.0,2.0,4,20,3,0,0,3,1005,115,391,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
3840000,Downtown,3.0,3.5,2,23,3,2,2,7,885,109,343,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1600000,Downtown,1.0,2.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1600000,Downtown,1.0,2.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1472000,Downtown,2.0,2.0,1,42,2,1,1,4,908,110,360,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1600000,Downtown,1.0,2.0,1,23,2,2,2,6,866,108,330,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
1360000,Downtown,2.0,2.5,1,42,2,1,1,4,908,110,360,143428.75,40.3,9126,4137,1222,0.0,0.0,0.0,1
287200,Chinatown,1.0,1.0,4,18,4,1,1,6,1075,132,417,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
336000,Chinatown,1.0,1.0,5,18,4,1,1,6,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
319200,Chinatown,1.0,1.0,2,18,1,1,1,3,1088,148,419,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
400000,Chinatown,1.0,1.0,5,18,6,1,1,8,1096,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
638400,Chinatown,2.0,2.0,1,18,1,1,1,3,1090,136,421,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
864000,Chinatown,2.0,2.0,5,18,4,1,1,6,1093,136,416,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
1200000,Chinatown,2.0,2.5,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
785840,Chinatown,3.0,3.0,4,18,2,1,1,4,1061,135,414,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
560000,Chinatown,1.0,1.0,5,18,4,1,1,6,1093,136,416,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
655920,Chinatown,2.0,2.0,4,28,3,1,1,5,1095,135,418,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
412000,Chinatown,1.0,1.0,4,28,4,1,1,6,1110,137,421,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
744960,Chinatown,2.0,2.0,4,18,4,1,1,6,1075,132,417,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
400000,Chinatown,2.0,1.0,2,18,1,1,1,3,1087,140,421,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
400000,Chinatown,2.0,1.0,2,18,1,1,1,3,1087,140,421,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
272000,Chinatown,1.0,1.0,3,18,1,1,1,3,1049,136,410,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
392000,Chinatown,2.0,1.0,3,18,2,1,1,4,1078,136,422,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
352000,Chinatown,2.0,1.0,3,18,1,1,1,3,1060,135,414,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
484000,Chinatown,2.0,1.0,4,18,2,1,1,4,1049,135,410,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
456000,Chinatown,2.0,1.0,2,18,1,1,1,3,1087,140,421,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
624000,Chinatown,3.0,1.5,2,18,1,1,1,3,1087,144,414,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
512000,Chinatown,2.0,1.0,3,18,2,1,1,4,1078,136,422,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
448000,Chinatown,2.0,1.0,1,18,1,1,1,3,1097,146,423,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
368000,Chinatown,1.0,1.0,2,18,1,1,1,3,1087,140,421,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
480000,Chinatown,2.0,1.0,2,18,1,1,1,3,1092,139,426,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
400000,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
351200,Chinatown,1.0,1.0,2,18,1,1,1,3,1087,140,421,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
408000,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
432000,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
463200,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
736000,Chinatown,2.0,2.0,5,18,6,1,1,8,1096,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
616000,Chinatown,1.0,2.0,5,18,4,1,1,6,1093,136,416,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
696000,Chinatown,1.0,1.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
800000,Chinatown,2.0,2.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
768000,Chinatown,2.0,2.0,5,18,6,1,1,8,1096,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
992000,Chinatown,2.0,2.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
800000,Chinatown,2.0,2.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
1056000,Chinatown,2.0,2.5,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
640000,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
3840000,Chinatown,3.0,3.5,4,18,4,1,1,6,1093,136,416,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
2400000,Chinatown,3.0,4.5,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
528000,Chinatown,3.0,1.0,3,18,2,1,1,4,1078,136,422,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
384000,Chinatown,2.0,1.0,4,18,2,1,1,4,1028,133,400,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
352000,Chinatown,2.0,1.0,1,18,1,1,1,3,1097,146,423,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
384000,Chinatown,2.0,1.0,3,18,2,1,1,4,1078,136,422,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
400000,Chinatown,2.0,1.0,4,18,2,1,1,4,1060,135,414,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
320000,Chinatown,1.0,1.0,1,18,1,1,1,3,1097,146,423,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
320000,Chinatown,1.0,1.0,1,18,1,1,1,3,1097,146,423,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
304000,Chinatown,1.0,1.0,2,18,1,1,1,3,1087,140,421,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
464000,Chinatown,2.0,1.0,4,18,2,1,1,4,1049,135,410,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
720000,Chinatown,3.0,2.0,1,18,1,1,1,3,1097,146,423,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
320000,Chinatown,1.0,1.0,1,18,1,1,1,3,1097,146,423,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
479200,Chinatown,2.0,1.0,2,18,1,1,1,3,1087,140,421,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
336000,Chinatown,1.0,1.0,5,18,4,1,1,6,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
464000,Chinatown,2.0,2.0,4,18,2,1,1,4,1049,135,410,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
384000,Chinatown,1.0,1.0,4,18,2,1,1,4,1049,135,410,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
360000,Chinatown,1.0,1.0,4,18,2,1,1,4,1028,133,400,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
464000,Chinatown,2.0,2.0,4,18,2,1,1,4,1049,135,410,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
496000,Chinatown,2.0,1.5,4,18,2,1,1,4,1049,135,410,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
400000,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
720000,Chinatown,4.0,2.0,2,18,1,1,1,3,1093,147,423,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
408000,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
424000,Chinatown,1.0,1.0,5,18,6,1,1,8,1096,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
736000,Chinatown,4.0,2.0,1,18,1,1,1,3,1097,146,423,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
432000,Chinatown,1.0,1.0,5,18,6,1,1,8,1096,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
432000,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
464000,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
1160000,Chinatown,3.0,3.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
448000,Chinatown,1.0,1.0,5,18,6,1,1,8,1096,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
1119200,Chinatown,3.0,2.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
832000,Chinatown,2.0,3.0,5,18,4,1,1,6,1093,136,416,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
832000,Chinatown,2.0,3.0,5,18,4,1,1,6,1093,136,416,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
536000,Chinatown,1.0,1.0,5,18,4,1,1,6,1093,136,416,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
512000,Chinatown,1.0,1.0,5,18,6,1,1,8,1090,133,415,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
1016000,Chinatown,3.0,2.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
1112000,Chinatown,3.0,2.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
1119200,Chinatown,3.0,2.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
640000,Chinatown,1.0,1.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
616000,Chinatown,1.0,1.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
624000,Chinatown,1.0,1.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
928000,Chinatown,2.0,2.0,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,1
656000,Chinatown,1.0,1.5,4,18,4,1,1,6,1079,136,413,56074.5,28.6,5015,2415,546,2870.0,22205.0,6330.0,0
