Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife,Median Household Income by Area,Median Age by Area,Total Population by Area,Occupied by Area,Vacant by Area,Work Commute Short by Area,Work Commute Average by Area,Work Commute Long by Area,Compare Median Sale Price
336000,East Boston,2.0,1.0,1,41,3,2,2,7,342,43,142,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
352000,East Boston,2.0,1.0,4,41,6,3,3,12,258,43,73,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
512000,East Boston,4.0,1.0,2,41,6,3,3,12,200,35,53,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
512000,East Boston,4.0,1.0,1,41,5,3,3,11,284,36,104,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
480000,East Boston,4.0,2.0,2,41,6,3,3,12,203,33,57,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
584000,East Boston,5.0,1.5,1,41,2,2,2,6,89,14,17,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
512000,East Boston,4.0,1.0,1,41,2,2,2,6,93,15,16,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
351200,East Boston,2.0,1.0,1,41,5,3,3,11,422,59,169,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
480000,East Boston,4.0,2.5,1,41,3,2,2,7,289,42,111,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
480000,East Boston,4.0,2.5,1,41,3,2,2,7,289,42,111,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
368000,East Boston,2.0,1.0,1,41,5,3,3,11,422,59,169,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
416000,East Boston,3.0,1.0,1,41,3,0,2,5,198,33,54,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
352000,East Boston,2.0,1.0,1,41,4,3,3,10,361,49,148,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
264000,East Boston,1.0,1.0,3,41,6,3,3,12,205,34,59,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
420400,East Boston,3.0,1.0,1,41,3,2,2,7,88,14,15,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
448000,East Boston,2.0,1.0,4,41,4,2,0,6,511,66,210,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
368000,East Boston,2.0,1.0,1,41,2,2,2,6,150,28,30,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
344000,East Boston,2.0,1.0,1,41,4,2,2,8,210,36,56,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
352000,East Boston,2.0,1.0,2,41,3,0,2,5,203,36,53,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
420000,East Boston,3.0,2.0,1,41,4,2,2,8,162,38,32,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
384000,East Boston,2.0,1.0,1,41,5,3,3,11,422,59,169,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
376000,East Boston,2.0,1.0,1,41,4,2,2,8,65,7,11,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
384000,East Boston,2.0,1.0,1,41,3,2,2,7,498,72,194,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
384000,East Boston,2.0,1.0,1,41,5,3,3,11,261,35,88,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
656000,East Boston,5.0,2.0,2,41,3,0,2,5,204,35,55,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
456000,East Boston,3.0,1.0,1,41,2,2,2,6,117,20,21,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
139200,East Boston,1.0,1.0,4,41,5,3,3,11,283,47,88,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
288000,East Boston,1.0,1.0,4,41,5,2,0,7,331,56,124,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
280000,East Boston,1.0,1.0,2,41,4,2,2,8,210,36,56,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
284000,East Boston,1.0,1.0,1,41,2,0,0,2,55,8,10,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
280000,East Boston,1.0,1.0,1,41,5,3,3,11,422,59,169,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
544000,East Boston,4.0,1.0,4,41,7,4,0,11,302,44,97,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
544000,East Boston,4.0,1.0,1,41,4,3,3,10,313,43,121,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
368000,East Boston,2.0,1.0,4,41,6,3,3,12,238,35,67,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
463200,East Boston,3.0,1.0,2,41,6,3,3,12,223,36,61,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
352000,East Boston,2.0,2.0,1,41,5,3,3,11,261,35,88,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
480000,East Boston,3.0,1.0,1,41,5,3,3,11,284,36,104,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
296000,East Boston,1.0,1.0,1,41,3,2,2,7,70,10,15,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
304000,East Boston,1.0,1.0,2,41,5,3,3,11,444,59,179,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
448000,East Boston,3.0,1.0,1,41,4,3,3,10,361,49,148,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
448000,East Boston,3.0,1.0,4,41,7,4,0,11,331,64,110,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
428000,East Boston,3.0,1.0,1,41,5,3,3,11,422,59,169,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
429600,East Boston,3.0,1.0,3,41,6,3,3,12,215,41,56,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
448000,East Boston,3.0,1.0,2,41,6,3,3,12,200,35,53,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
536000,East Boston,4.0,1.0,1,41,5,3,3,11,313,43,121,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
528000,East Boston,4.0,2.0,1,41,4,2,2,8,63,8,11,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
544000,East Boston,4.0,1.0,2,41,6,3,3,12,204,32,59,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
560000,East Boston,4.0,1.0,1,41,6,3,3,12,204,32,59,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
432000,East Boston,3.0,1.0,2,41,6,3,3,12,200,35,53,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
432000,East Boston,3.0,1.0,4,41,4,2,0,6,465,63,193,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
479200,East Boston,3.0,1.0,2,41,4,1,1,6,199,31,56,100708.83,34.8,45357,17308,1524,13605.0,277870.0,227790.0,0
