Day of Year,Year of Period End,Period Begin,Period End,adjusted_average_homes_sold,adjusted_average_homes_sold_yoy,Average Homes Sold Yoy (tooltip)
163,2022,5/16/2022,6/12/2022,"1,148",-0.055921053,-5.60%
164,2021,5/17/2021,6/13/2021,"1,216",0.665753425,66.60%
168,2024,5/20/2024,6/16/2024,886,0.004535147,0.50%
169,2023,5/22/2023,6/18/2023,882,-0.248081841,-24.80%
170,2022,5/23/2022,6/19/2022,"1,173",-0.101837672,-10.20%
171,2021,5/24/2021,6/20/2021,"1,306",0.622360248,62.20%
175,2024,5/27/2024,6/23/2024,928,0.042696629,4.30%
176,2023,5/29/2023,6/25/2023,890,-0.222707424,-22.30%
177,2022,5/30/2022,6/26/2022,"1,145",-0.071370641,-7.10%
178,2021,5/31/2021,6/27/2021,"1,233",0.511029412,51.10%
182,2024,6/3/2024,6/30/2024,"1,020",0.004926108,0.50%
183,2023,6/5/2023,7/2/2023,"1,015",-0.220430108,-22.00%
184,2022,6/6/2022,7/3/2022,"1,302",-0.116689281,-11.70%
185,2021,6/7/2021,7/4/2021,"1,474",0.491902834,49.20%
189,2024,6/10/2024,7/7/2024,951,-0.011434511,-1.10%
190,2023,6/12/2023,7/9/2023,962,-0.212765957,-21.30%
191,2022,6/13/2022,7/10/2022,"1,222",-0.153153153,-15.30%
192,2021,6/14/2021,7/11/2021,"1,443",0.391513983,39.20%
196,2024,6/17/2024,7/14/2024,941,-0.006335797,-0.60%
197,2023,6/19/2023,7/16/2023,947,-0.227569331,-22.80%
198,2022,6/20/2022,7/17/2022,"1,226",-0.139649123,-14.00%
199,2021,6/21/2021,7/18/2021,"1,425",0.287262873,28.70%
203,2024,6/24/2024,7/21/2024,941,-0.021829522,-2.20%
204,2023,6/26/2023,7/23/2023,962,-0.205615194,-20.60%
205,2022,6/27/2022,7/24/2022,"1,211",-0.131899642,-13.20%
206,2021,6/28/2021,7/25/2021,"1,395",0.252244165,25.20%
210,2024,7/1/2024,7/28/2024,820,-0.006060606,-0.60%
211,2023,7/3/2023,7/30/2023,825,-0.241030359,-24.10%
212,2022,7/4/2022,7/31/2022,"1,087",-0.180241327,-18.00%
213,2021,7/5/2021,8/1/2021,"1,326",0.063352045,6.30%
217,2024,7/8/2024,8/4/2024,"1,002",0.04921466,4.90%
218,2023,7/10/2023,8/6/2023,955,-0.172443674,-17.20%
219,2022,7/11/2022,8/7/2022,"1,154",-0.175125089,-17.50%
220,2021,7/12/2021,8/8/2021,"1,399",0.076153846,7.60%
224,2024,7/15/2024,8/11/2024,957,0.085034014,8.50%
225,2023,7/17/2023,8/13/2023,882,-0.187096774,-18.70%
226,2022,7/18/2022,8/14/2022,"1,085",-0.17989418,-18.00%
227,2021,7/19/2021,8/15/2021,"1,323",0.016910069,1.70%
231,2024,7/22/2024,8/18/2024,930,0.07266436,7.30%
232,2023,7/24/2023,8/20/2023,867,-0.205316224,-20.50%
233,2022,7/25/2022,8/21/2022,"1,091",-0.185212845,-18.50%
234,2021,7/26/2021,8/22/2021,"1,339",-0.010347376,-1.00%
238,2024,7/29/2024,8/25/2024,900,0.10974106,11.00%
239,2023,7/31/2023,8/27/2023,811,-0.180808081,-18.10%
240,2022,8/1/2022,8/28/2022,990,-0.181141439,-18.10%
241,2021,8/2/2021,8/29/2021,"1,209",-0.038186158,-3.80%
245,2024,8/5/2024,9/1/2024,869,0.03452381,3.50%
246,2023,8/7/2023,9/3/2023,840,-0.224376731,-22.40%
247,2022,8/8/2022,9/4/2022,"1,083",-0.170750383,-17.10%
248,2021,8/9/2021,9/5/2021,"1,306",-0.03473762,-3.50%
252,2024,8/12/2024,9/8/2024,835,0.00240096,0.20%
253,2023,8/14/2023,9/10/2023,833,-0.195169082,-19.50%
254,2022,8/15/2022,9/11/2022,"1,035",-0.175298805,-17.50%
255,2021,8/16/2021,9/12/2021,"1,255",-0.004758128,-0.50%
259,2024,8/19/2024,9/15/2024,800.6369272,-0.004182926,-0.40%
260,2023,8/21/2023,9/17/2023,804,-0.19760479,-19.80%
261,2022,8/22/2022,9/18/2022,"1,002",-0.195826645,-19.60%
262,2021,8/23/2021,9/19/2021,"1,246",-0.020440252,-2.00%
266,2024,8/26/2024,9/22/2024,782.8540743,0.027367552,2.70%
267,2023,8/28/2023,9/24/2023,762,-0.183279743,-18.30%
268,2022,8/29/2022,9/25/2022,933,-0.206632653,-20.70%
269,2021,8/30/2021,9/26/2021,"1,176",0.00944206,0.90%
273,2024,9/2/2024,9/29/2024,691.9187276,-0.028204034,-2.80%
274,2023,9/4/2023,10/1/2023,712,-0.203579418,-20.40%
275,2022,9/5/2022,10/2/2022,894,-0.236549957,-23.70%
276,2021,9/6/2021,10/3/2021,"1,171",-0.040163934,-4.00%
280,2024,9/9/2024,10/6/2024,763.2007652,0.076446777,7.60%
281,2023,9/11/2023,10/8/2023,709,-0.196145125,-19.60%
282,2022,9/12/2022,10/9/2022,882,-0.236363636,-23.60%
283,2021,9/13/2021,10/10/2021,"1,155",-0.075260208,-7.50%
288,2023,9/18/2023,10/15/2023,664,-0.200962696,-20.10%
289,2022,9/19/2022,10/16/2022,831,-0.239010989,-23.90%
290,2021,9/20/2021,10/17/2021,"1,092",-0.095277548,-9.50%
295,2023,9/25/2023,10/22/2023,683,-0.193624557,-19.40%
296,2022,9/26/2022,10/23/2022,847,-0.203198495,-20.30%
297,2021,9/27/2021,10/24/2021,"1,063",-0.101437025,-10.10%
302,2023,10/2/2023,10/29/2023,628,-0.193838254,-19.40%
303,2022,10/3/2022,10/30/2022,779,-0.2487946,-24.90%
304,2021,10/4/2021,10/31/2021,"1,037",-0.118946474,-11.90%
309,2023,10/9/2023,11/5/2023,710,-0.158767773,-15.90%
310,2022,10/10/2022,11/6/2022,844,-0.222119816,-22.20%
311,2021,10/11/2021,11/7/2021,"1,085",-0.094323873,-9.40%
316,2023,10/16/2023,11/12/2023,716,-0.117139334,-11.70%
317,2022,10/17/2022,11/13/2022,811,-0.245581395,-24.60%
318,2021,10/18/2021,11/14/2021,"1,075",-0.086661003,-8.70%
323,2023,10/23/2023,11/19/2023,751,-0.115429918,-11.50%
324,2022,10/24/2022,11/20/2022,849,-0.285353535,-28.50%
325,2021,10/25/2021,11/21/2021,"1,188",-0.051875499,-5.20%
330,2023,10/30/2023,11/26/2023,681,-0.063273728,-6.30%
331,2022,10/31/2022,11/27/2022,727,-0.267875126,-26.80%
332,2021,11/1/2021,11/28/2021,993,-0.033106134,-3.30%
337,2023,11/6/2023,12/3/2023,705,-0.089147287,-8.90%
