Rent,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
4079,"West Roxbury, Boston, MA",3.0,2.0,1,83,4,6,6,16,59,8,6
2500,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,3,2,0,5,78,18,16
2000,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,5,2,2,9,45,9,5
2525,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,2,2,2,6,38,5,6
4000,"West Roxbury, Boston, MA",3.0,2.0,1,20,2,2,2,6,15,3,0
1775,"West Roxbury, West Roxbury, MA",1.0,1.0,1,83,4,2,2,8,44,7,4
2850,"West Roxbury, Boston, MA",2.0,2.0,1,83,0,1,3,4,49,6,5
2850,"West Roxbury, West Roxbury, MA",2.0,2.0,1,83,2,2,2,6,43,7,7
2525,"West Roxbury, Chestnut Hill, MA",1.0,1.0,1,77,2,2,2,6,42,5,7
3200,"West Roxbury, Boston, MA",3.0,2.0,1,83,2,3,3,8,53,7,4
3200,"West Roxbury, Boston, MA",2.0,2.0,1,83,3,2,0,5,78,18,16
2500,"West Roxbury, Boston, MA",2.0,2.0,1,83,3,2,2,7,45,9,2
2650,"West Roxbury, Chestnut Hill, MA",2.0,1.5,1,77,2,2,2,6,38,5,6
3050,"West Roxbury, Chestnut Hill, MA",2.0,1.5,1,77,2,2,2,6,42,6,7
3100,"West Roxbury, Chestnut Hill, MA",2.0,1.5,1,77,2,2,2,6,38,5,6
1900,"Hyde Park, Boston, MA",2.0,1.0,1,21,4,4,4,12,38,8,3
1825,"Hyde Park, Boston, MA",1.0,1.0,1,21,4,4,4,12,38,8,3
1725,"Hyde Park, Boston, MA",1.0,1.0,1,21,4,4,4,12,38,8,3
2400,"Hyde Park, Boston, MA",3.0,1.0,1,76,4,3,3,10,36,9,3
3100,"Hyde Park, Boston, MA",4.0,1.0,1,76,1,1,1,3,47,7,3
1850,"Hyde Park, Boston, MA",2.0,1.0,1,76,6,4,4,14,35,8,3
2625,"Hyde Park, Boston, MA",3.0,1.0,1,76,3,3,3,9,16,6,2
2600,"Hyde Park, Boston, MA",3.0,1.0,1,76,1,0,4,5,52,11,4
1800,"Hyde Park, Boston, MA",1.0,1.0,1,21,4,4,4,12,38,8,3
900,"Hyde Park, Boston, MA",1.0,0.0,1,76,4,3,3,10,36,9,3
850,"Hyde Park, Boston, MA",1.0,0.0,1,76,2,2,2,6,48,9,3
850,"Hyde Park, Boston, MA",1.0,0.0,1,76,2,2,2,6,48,9,3
1950,"Hyde Park, Hyde Park, MA",2.0,1.0,1,76,3,1,1,5,40,8,3
2000,"Hyde Park, Hyde Park, MA",2.0,1.0,1,76,1,1,1,3,51,10,4
1850,"Hyde Park, Hyde Park, MA",2.0,1.0,1,76,4,4,4,12,37,7,3
1800,"Hyde Park, Boston, MA",1.0,1.0,2,76,2,0,1,3,43,10,3
2450,"Hyde Park, Hyde Park, MA",3.0,1.0,1,76,1,0,3,4,58,13,5
1900,"Hyde Park, Boston, MA",2.0,1.0,1,76,6,4,4,14,37,8,3
2299,"Hyde Park, Boston, MA",3.0,1.0,1,76,1,0,1,2,51,11,3
2100,"Hyde Park, Boston, MA",2.0,1.0,1,76,2,2,2,6,11,6,2
2995,"Hyde Park, Boston, MA",2.0,1.0,1,20,5,3,3,11,38,9,3
3200,"Hyde Park, Boston, MA",4.0,1.5,1,76,3,1,1,5,35,8,3
3300,"Hyde Park, Boston, MA",3.0,1.0,1,20,5,3,3,11,38,9,3
2400,"Hyde Park, Boston, MA",2.0,2.0,1,76,4,2,2,8,39,8,3
2600,"Hyde Park, Boston, MA",1.0,1.0,1,21,2,2,2,6,36,7,4
1530,"Hyde Park, Hyde Park, MA",1.0,1.0,1,76,2,1,0,3,69,17,11
1900,"Hyde Park, Hyde Park, MA",2.0,1.0,1,76,6,4,4,14,37,8,3
1850,"Hyde Park, Hyde Park, MA",2.0,1.0,1,76,1,0,1,2,74,19,9
1850,"Hyde Park, Boston, MA",2.0,1.0,1,76,1,0,1,2,59,13,4
2100,"Hyde Park, Boston, MA",3.0,1.0,1,76,4,3,3,10,37,7,4
2200,"Hyde Park, Hyde Park, MA",2.0,1.0,1,76,1,0,4,5,50,9,4
1950,"Hyde Park, Boston, MA",2.0,1.0,1,76,3,1,1,5,41,8,3
2000,"Hyde Park, Boston, MA",1.0,1.0,1,76,5,3,3,11,40,7,4
1900,"Hyde Park, Boston, MA",1.0,1.0,1,76,4,2,2,8,39,8,3
2200,"Hyde Park, Boston, MA",2.0,1.0,4,76,3,3,3,9,14,6,2
2700,"Hyde Park, Boston, MA",4.0,1.0,1,76,4,4,4,12,37,7,3
2300,"Hyde Park, Boston, MA",3.0,2.0,1,76,6,4,4,14,35,8,3
2750,"Hyde Park, Boston, MA",2.0,1.0,1,20,5,3,3,11,38,9,3
1850,"Hyde Park, Boston, MA",2.0,1.0,2,76,1,0,1,2,49,10,3
3675,"Hyde Park, Boston, MA",3.0,1.0,1,20,5,3,3,11,38,9,3
3100,"Hyde Park, Boston, MA",3.0,1.0,1,20,5,3,3,11,38,9,3
3100,"Hyde Park, Boston, MA",3.0,1.0,1,20,5,3,3,11,38,9,3
650,"Hyde Park, Boston, MA",4.0,1.5,1,76,3,2,2,7,48,9,4
650,"Hyde Park, Hyde Park, MA",1.0,0.0,1,76,3,2,2,7,48,9,4
2600,"Hyde Park, Boston, MA",1.0,1.0,1,21,2,2,2,6,37,7,4
2600,"Hyde Park, Boston, MA",3.0,1.0,1,76,2,2,2,6,12,6,2
2400,"Hyde Park, Mattapan, MA",3.0,1.0,2,59,4,1,1,6,30,9,2
2350,"Hyde Park, Boston, MA",2.0,1.0,1,66,3,1,0,4,65,18,10
3300,"Hyde Park, Boston, MA",2.0,1.0,1,20,5,3,3,11,38,9,3
2700,"Hyde Park, Boston, MA",3.0,2.0,1,76,1,0,4,5,51,10,5
2700,"Hyde Park, Boston, MA",3.0,1.0,1,76,3,1,1,5,35,8,3
4500,"Hyde Park, Roslindale, MA",3.0,2.0,1,66,1,0,0,1,58,12,1
3895,"Hyde Park, Roslindale, MA",2.0,2.0,1,66,1,0,0,1,58,12,1
3795,"Hyde Park, Roslindale, MA",2.0,2.0,1,66,1,0,0,1,58,12,1
3895,"Hyde Park, Roslindale, MA",2.0,2.0,1,66,1,0,0,1,58,12,1
3795,"Hyde Park, Roslindale, MA",2.0,2.0,1,66,1,0,0,1,58,12,1
