Rent,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
3795,"Roslindale, Boston, MA",2.0,2.0,3,66,4,3,3,10,78,17,17
4500,"Roslindale, Boston, MA",3.0,2.0,3,66,4,3,3,10,78,17,17
3795,"Roslindale, Roslindale, MA",2.0,2.0,3,66,3,3,3,9,78,17,17
3895,"Roslindale, Roslindale, MA",2.0,2.0,3,66,3,3,3,9,78,17,17
1900,"Roslindale, Boston, MA",1.0,1.0,1,66,4,2,2,8,82,19,14
2700,"Roslindale, Boston, MA",2.0,2.0,1,66,3,1,0,4,76,19,16
3795,"Roslindale, Roslindale, MA",2.0,2.0,3,66,3,3,3,9,75,17,15
2580,"Roslindale, Roslindale, MA",3.0,1.5,1,66,1,0,0,1,83,19,13
2300,"Roslindale, Roslindale, MA",2.0,1.0,3,66,3,3,3,9,76,18,17
2700,"West Roxbury, Boston, MA",3.0,1.0,1,83,3,2,2,7,76,18,16
2695,"West Roxbury, Boston, MA",3.0,1.0,1,83,3,1,0,4,42,6,4
2695,"West Roxbury, Boston, MA",4.0,2.0,1,83,0,0,0,0,59,13,7
1800,"West Roxbury, Boston, MA",2.0,1.0,1,83,5,6,6,17,56,8,6
1990,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,48,8,5
2100,"West Roxbury, Newton, MA",2.0,1.0,1,77,3,3,3,9,12,3,1
3100,"West Roxbury, Boston, MA",4.0,1.0,1,83,3,1,0,4,42,6,4
2100,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,47,7,5
1990,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,47,7,4
3000,"West Roxbury, West Roxbury, MA",3.0,1.0,1,83,5,4,0,9,63,14,9
2100,"West Roxbury, Boston, MA",2.0,1.0,1,83,4,2,2,8,48,8,5
2875,"West Roxbury, Boston, MA",3.0,1.0,1,83,3,2,0,5,61,15,8
2745,"West Roxbury, Boston, MA",3.0,1.0,1,83,3,2,0,5,61,15,8
1650,"West Roxbury, Boston, MA",1.0,1.0,1,77,2,2,2,6,31,4,3
